date,VIX1D,OVX,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,SKEW,VIX_TERM_SLOPE
1991-05-08,,,,17.78,,,,113.96,
1991-05-09,,,,17.17,,,,114.01,
1991-05-10,,,,17.54,,,,113.66,
1991-05-13,,,,17.66,,,,117.42,
1991-05-14,,,,18.0,,,,115.69,
1991-05-15,,,,18.38,,,,116.98,
1991-05-16,,,,17.24,,,,117.07,
1991-05-17,,,,16.64,,,,117.32,
1991-05-20,,,,17.1,,,,116.42,
1991-05-21,,,,16.07,,,,116.61,
1991-05-22,,,,16.16,,,,116.29,
1991-05-23,,,,16.11,,,,115.98,
1991-05-24,,,,15.23,,,,116.19,
1991-05-28,,,,15.67,,,,122.33,
1991-05-29,,,,15.9,,,,120.96,
1991-05-30,,,,16.02,,,,116.11,
1991-05-31,,,,15.93,,,,117.2,
1991-06-03,,,,16.87,,,,115.62,
1991-06-04,,,,16.17,,,,114.51,
1991-06-05,,,,16.4,,,,111.76,
1991-06-06,,,,16.93,,,,112.28,
1991-06-07,,,,16.98,,,,113.52,
1991-06-10,,,,17.47,,,,112.37,
1991-06-11,,,,17.32,,,,113.45,
1991-06-12,,,,17.72,,,,115.11,
1991-06-13,,,,16.99,,,,116.36,
1991-06-14,,,,15.98,,,,121.08,
1991-06-17,,,,15.5,,,,116.07,
1991-06-18,,,,16.14,,,,116.71,
1991-06-19,,,,17.44,,,,118.7,
1991-06-20,,,,16.75,,,,119.72,
1991-06-21,,,,16.51,,,,124.86,
1991-06-24,,,,18.28,,,,115.96,
1991-06-25,,,,17.85,,,,117.0,
1991-06-26,,,,17.98,,,,116.36,
1991-06-27,,,,17.87,,,,118.29,
1991-06-28,,,,19.55,,,,114.98,
1991-07-01,,,,18.64,,,,112.49,
1991-07-02,,,,17.63,,,,112.56,
1991-07-03,,,,19.47,,,,110.56,
1991-07-05,,,,18.35,,,,118.18,
1991-07-08,,,,20.29,,,,120.97,
1991-07-09,,,,19.76,,,,113.87,
1991-07-10,,,,19.19,,,,113.36,
1991-07-11,,,,17.39,,,,116.53,
1991-07-12,,,,18.29,,,,119.14,
1991-07-15,,,,17.78,,,,122.07,
1991-07-16,,,,17.49,,,,119.81,
1991-07-17,,,,17.52,,,,119.25,
1991-07-18,,,,15.77,,,,121.07,
1991-07-19,,,,15.5,,,,123.06,
1991-07-22,,,,16.9,,,,123.02,
1991-07-23,,,,16.58,,,,120.08,
1991-07-24,,,,16.41,,,,110.45,
1991-07-25,,,,15.74,,,,111.61,
1991-07-26,,,,15.45,,,,111.76,
1991-07-29,,,,15.67,,,,114.3,
1991-07-30,,,,15.47,,,,112.31,
1991-07-31,,,,15.18,,,,111.5,
1991-08-01,,,,15.47,,,,107.71,
1991-08-02,,,,15.26,,,,109.76,
1991-08-05,,,,15.92,,,,109.02,
1991-08-06,,,,15.54,,,,108.92,
1991-08-07,,,,15.56,,,,109.92,
1991-08-08,,,,15.98,,,,109.62,
1991-08-09,,,,15.45,,,,108.84,
1991-08-12,,,,15.26,,,,109.6,
1991-08-13,,,,14.73,,,,111.26,
1991-08-14,,,,15.09,,,,110.7,
1991-08-15,,,,15.19,,,,110.86,
1991-08-16,,,,16.01,,,,112.48,
1991-08-19,,,,21.19,,,,119.37,
1991-08-20,,,,18.86,,,,117.23,
1991-08-21,,,,15.62,,,,114.03,
1991-08-22,,,,14.59,,,,110.41,
1991-08-23,,,,14.41,,,,111.17,
1991-08-26,,,,14.81,,,,112.74,
1991-08-27,,,,15.46,,,,113.32,
1991-08-28,,,,15.31,,,,114.6,
1991-08-29,,,,14.82,,,,114.69,
1991-08-30,,,,14.46,,,,115.36,
1991-09-03,,,,16.57,,,,114.62,
1991-09-04,,,,17.18,,,,114.14,
1991-09-05,,,,17.31,,,,114.61,
1991-09-06,,,,16.76,,,,114.5,
1991-09-09,,,,17.73,,,,114.78,
1991-09-10,,,,18.22,,,,114.59,
1991-09-11,,,,17.96,,,,114.72,
1991-09-12,,,,16.21,,,,115.24,
1991-09-13,,,,17.88,,,,115.25,
1991-09-16,,,,17.82,,,,109.18,
